Smiles,IC50,pIC50
C[C@@H](O)C1CCN(c2nc(-c3ccc(N4CCN(C)CC4)cc3)cc3ncn(C)c(=O)c23)C1,331.0,6.480172006224281
CN1C(=O)CS(=O)(=O)c2cc(-c3cc4ncn(C)c(=O)c4c(N[C@@H]4CCOC4)n3)ccc21,243.0,6.614393726401688
Cc1cc(-c2cc3ncn(C)c(=O)c3c(N3CC[C@H](CO)C3)n2)ccc1C1CCNCC1,91.2,7.0400051616715835
Cc1cc(C)nc(Nc2cc(N[C@@H]3CS(=O)(=O)CC[C@@H]3N)cnc2C(N)=O)c1,0.1,10.0
CN1CCN(C2CCN(C(=O)c3cc4cc(Nc5nccc(-c6cn(C)cn6)n5)cc(Cl)c4[nH]3)CC2)C1=O,0.8,9.096910013008056
Cn1cnc(-c2ccnc(Nc3cc(Cl)c4[nH]c(C(=O)N5CCN(C(=O)C6CCCO6)CC5)cc4c3)n2)c1,2.0,8.698970004336019
COc1cc2ncccc2cc1NC(=O)c1csc2cnc(N[C@H](C)CO)nc12,492.0,6.308034897232639
NC(=O)C1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cccnc23)CC1,500.0,6.301029995663981
Cn1cnc2cc(-c3ccc(C4(N)CC4)nc3)nc(N[C@@H]3CCCO3)c2c1=O,338.0,6.471083299722345
CCCCCOC(=O)C1CCC(C(C)(O)c2ccc(-c3cc(C)cc(Nc4cc(C(F)F)ccn4)n3)cn2)CC1,100.0,7.0
Cc1cc(Nc2cc(C(F)F)ccn2)nc(-c2ccc(C(C)(O)C3CCC(C(=O)OC4CCOCC4)CC3)nc2)c1,8.7,8.060480747381382
CCOCCOCCOC(=O)C1CCC(C(C)(O)c2ccc(-c3cc(C)cc(Nc4cc(C(F)F)ccn4)n3)cn2)CC1,12.0,7.920818753952375
CCOC(=O)OCOC(=O)[C@H]1CC[C@H](C(C)(O)c2ccc(-c3cc(C)cc(Nc4cc(C(F)F)ccn4)n3)cn2)CC1,14.0,7.853871964321762
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5ncn(C)c5c4)n3)c3ccccc23)cc1,199.0,6.701146923590294
COc1cc(/C=C2/C(=O)NN(c3ccc(C)c(Cl)c3)C2=O)cc(Cl)c1O,3400.0,5.468521082957745
Cc1ccnc(Nc2nc(-c3c(C)nc4cc(C)ccn34)cs2)c1,1900.0,5.721246399047171
C[C@H]1CCCN1c1cccc(Nc2cc(-c3cccc(C(N)=O)c3)nn3ccnc23)n1,16.05,7.794524963259109
CCCn1cc(-c2cc(OCc3ncccc3C(N)=O)c3cccnc3c2)cn1,1.5,8.823908740944319
CCOc1cc(-c2cc(OC)c(OC)c(OC)c2)cc2ncccc12,1096.0,5.96018944585165
COc1c(F)cc(-c2cc(OC[C@H]3CNC(=O)O3)c3cccnc3c2)cc1F,16.2,7.790484985457369
